year,count_published
1400,76
1403,1
1409,2
1411,1
1425,1
1431,1
1433,1
1435,1
1445,1
1450,1
1451,1
1456,1
1459,1
1469,3
1470,1
1472,2
1475,2
1476,5
1477,2
1478,1
1479,3
1480,2
1481,2
1482,4
1483,3
1484,1
1485,14
1486,1
1487,1
1488,2
1489,5
1490,3
1491,3
1492,4
1493,5
1494,2
1495,6
1496,5
1497,6
1498,4
1499,5
1500,103
1501,5
1502,2
1503,1
1504,3
1505,1
1506,2
1507,1
1508,18
1509,5
1510,1
1511,2
1512,1
1513,7
1514,5
1515,2
1516,2
1517,3
1518,5
1519,2
1520,5
1521,3
1522,1
1523,11
1524,6
1525,7
1526,10
1527,1
1528,6
1529,1
1530,7
1531,9
1532,18
1533,6
1534,7
1535,9
1536,5
1537,6
1538,2
1539,6
1540,6
1541,4
1542,10
1543,5
1544,6
1545,3
1546,5
1547,3
1548,6
1549,5
1550,14
1551,12
1552,8
1553,3
1554,13
1555,2
1556,7
1557,4
1558,6
1559,7
1560,9
1561,9
1562,4
1563,6
1564,5
1565,9
1566,4
1567,2
1568,44
1569,2
1570,31
1571,12
1572,11
1573,136
1574,6
1575,7
1576,10
1577,41
1578,7
1579,4
1580,51
1581,13
1582,12
1583,10
1584,9
1585,4
1586,14
1587,20
1588,23
1589,31
1590,71
1591,56
1592,75
1593,23
1594,50
1595,247
1596,158
1597,200
1598,73
1599,124
1600,338
1601,64
1602,30
1603,17
1604,60
1605,11
1606,27
1607,14
1608,68
1609,1060
1610,7
1611,22
1612,31
1613,64
1614,14
1615,14
1616,191
1617,65
1618,23
1619,533
1620,18
1621,10
1622,95
1623,1060
1624,9
1625,14
1626,113
1627,8
1628,6
1629,23
1630,21
1631,27
1632,44
1633,540
1634,252
1635,65
1636,9
1637,45
1638,75
1639,21
1640,279
1641,16
1642,20
1643,2
1644,37
1645,137
1646,159
1647,2016
1648,2648
1649,113
1650,49
1651,319
1652,208
1653,94
1654,19
1655,76
1656,80
1657,163
1658,44
1659,109
1660,37
1661,46
1662,61
1663,13
1664,35
1665,263
1666,86
1667,154
1668,119
1669,86
1670,302
1671,115
1672,110
1673,210
1674,69
1675,92
1676,90
1677,55
1678,133
1679,90
1680,30
1681,158
1682,187
1683,125
1684,149
1685,169
1686,143
1687,209
1688,54
1689,23
1690,27
1691,67
1692,67
1693,155
1694,82
1695,59
1696,71
1697,151
1698,200
1699,116
1700,185
1701,73
1702,45
1703,52
1704,92
1705,149
1706,60
1707,104
1708,175
1709,163
1710,363
1711,715
1712,354
1713,69
1714,162
1715,14
1716,73
1717,24
1718,17
1719,103
1720,40
1721,74
1722,13
1723,113
1724,93
1725,24
1726,14
1727,149
1728,137
1729,36
1730,97
1731,103
1732,55
1733,98
1734,57
1735,105
1736,15
1737,34
1738,143
1739,21
1740,211
1741,26
1742,55
1743,137
1744,145
1745,207
1746,162
1747,55
1748,222
1749,28
1750,294
1751,170
1752,240
1753,219
1754,168
1755,213
1756,152
1757,336
1758,153
1759,362
1760,165
1761,177
1762,230
1763,288
1764,213
1765,618
1766,147
1767,597
1768,402
1769,453
1770,186
1771,453
1772,121
1773,192
1774,145
1775,389
1776,238
1777,320
1778,358
1779,496
1780,171
1781,236
1782,200
1783,160
1784,1050
1785,405
1786,484
1787,632
1788,751
1789,831
1790,1053
1791,1011
1792,1021
1793,894
1794,834
1795,633
1796,997
1797,704
1798,1064
1799,1251
1800,1772
1801,1396
1802,1056
1803,1611
1804,1375
1805,1394
1806,1444
1807,1004
1808,1268
1809,1189
1810,1328
1811,1221
1812,1206
1813,1023
1814,1106
1815,1441
1816,1660
1817,1323
1818,1532
1819,1239
1820,1324
1821,1713
1822,1696
1823,3811
1824,3333
1825,3673
1826,3822
1827,5091
1828,4963
1829,4492
1830,4150
1831,4423
1832,4327
1833,4451
1834,5683
1835,4896
1836,4691
1837,5956
1838,5687
1839,6925
1840,6971
1841,6916
1842,6691
1843,7775
1844,7221
1845,7352
1846,9591
1847,11671
1848,11760
1849,10253
1850,12488
1851,13071
1852,13636
1853,14401
1854,15045
1855,14559
1856,14968
1857,15484
1858,14635
1859,14697
1860,14074
1861,13969
1862,14354
1863,14411
1864,13661
1865,13136
1866,14316
1867,16389
1868,16433
1869,17094
1870,18447
1871,16055
1872,19324
1873,20239
1874,20837
1875,20411
1876,28000
1877,23904
1878,24421
1879,26179
1880,30331
1881,27594
1882,27518
1883,29068
1884,30576
1885,31504
1886,33004
1887,34671
1888,36609
1889,37741
1890,38823
1891,38664
1892,37865
1893,41718
1894,44481
1895,46309
1896,49784
1897,48693
1898,50503
1899,51485
1900,53098
1901,55425
1902,57483
1903,56819
1904,58060
1905,60108
1906,61390
1907,62459
1908,64569
1909,66325
