title_1,reference-count,subj,year,month,day,row_num
"XXVII. <i>Sequel to the Observations on Ancient Castles. By</i> Edward King, <i>Esq.</i>",18,General Medicine,1782,,,1
"III. <i>An Illustration of a</i> Saxon <i>Inscription remaining in the Church of</i> Aldbrough, <i>in</i> Holdernesse, <i>in the East-Riding of the County of</i> York, <i>in a Letter addressed to the Reverend</i> Owen Manning, <i>of</i> Godelming, <i>in</i> Surry, B. D. <i>and</i> F.R.S. <i>and</i> F.S. A. <i>by</i> John-Charles Brooke,<i>Esq.</i> Somerset <i>Herald</i>, F.S.A.",10,General Medicine,1782,,,2
"II. <i>Remarks on the Reverend Mr.</i> William Harris's <i>Observations on the</i> Roman <i>Antiquities in</i> Monmouthshire <i>and the neighbouring Counties of</i> Wales; <i>with an Account of some curious Remains of Antiquity in</i> Glamorganshire. <i>Addrest to the President, Council, and Fellows of the</i> Society of Antiquaries, <i>by</i> John Strange, <i>Esq.</i> F.R.S. F.S.A. <i>His Majesty's Resident at</i> Venice.",5,General Medicine,1782,,,3
"VI. <i>Observations upon a Passage in</i> Pliny's Natural History, <i>relative to the Temple of</i> Diana <i>at</i> Ephesus. <i>By</i> Joseph Windham, <i>Esq.</i>",4,General Medicine,1782,,,4
"XXIV. <i>A Description of an antient Picture in</i> Windsor <i>Castle, representing the Embarkation of King</i> Henry VIII. <i>at</i> Dover, May 31, 1520; <i>preparatory to his Interview with the</i> French <i>King</i> Francis I. <i>By</i> John Topham, <i>Esq.</i> F.R.S. F.S.A.",4,General Medicine,1782,,,5
"VIII. <i>Observations on the Plague in</i> England, <i>by the Rev. Mr.</i> Pegge. <i>In a Letter to Mr.</i> Gough",3,General Medicine,1782,,,6
XX. <i>The Commencement of</i> Day <i>amongst the</i> Saxons <i>and</i> Britons <i>ascertained. In a Letter to the Rev. Dr.</i> Lort <i>by the Rev. Mr.</i> Pegge,3,General Medicine,1782,,,7
"XVIII. <i>Four Letters from</i> Beaupré Bell, <i>Esq. to</i> Roger Gale, <i>Esq. on the Horologia of the Antients, with Mr.</i> Gale's <i>Answer</i>",1,General Medicine,1782,,,8
"XXIII. <i>Observations on the Origin and Antiquity of</i> Round Churches; <i>and of the</i> Round Church <i>at</i> Cambridge <i>in particular. By Mr.</i> James Essex, F.A.S.",1,General Medicine,1782,,,9
Catholicon Anglicum,1961,General Medicine,1882,12,,1
Ueber die Fortschritte der Bacterien-Forschung,161,"Drug Discovery, Pharmaceutical Science",1882,,,2
