subject,year,count,row_num
Atmospheric Science,1500,13,1
General Medicine,1500,3,2
Physiology,1500,3,3
Molecular Biology,1500,3,4
Cell Biology,1500,3,5
Endocrinology,1500,2,6
"Endocrinology, Diabetes and Metabolism",1500,2,7
Condensed Matter Physics,1500,1,8
Insect Science,1500,1,9
Instrumentation,1500,1,10
Economics and Econometrics,1512,1,1
Finance,1512,1,2
Accounting,1512,1,3
General Medicine,1773,45,1
General Medicine,1777,30,1
General Medicine,1782,36,1
General Medicine,1785,52,1
General Earth and Planetary Sciences,1798,32,1
General Environmental Science,1798,32,2
General Physics and Astronomy,1801,120,1
General Physics and Astronomy,1804,126,1
General Materials Science,1804,18,2
General Physics and Astronomy,1805,183,1
General Environmental Science,1805,32,2
General Earth and Planetary Sciences,1805,32,3
General Physics and Astronomy,1806,147,1
General Medicine,1806,44,2
General Physics and Astronomy,1807,126,1
General Physics and Astronomy,1810,120,1
General Physics and Astronomy,1811,170,1
General Medicine,1811,33,2
Drug Discovery,1811,21,3
Pharmaceutical Science,1811,21,4
Marketing,1811,21,5
Organizational Behavior and Human Resource Management,1811,21,6
Pharmacology,1811,21,7
Strategy and Management,1811,21,8
General Medicine,1815,152,1
General Physics and Astronomy,1815,112,2
General Environmental Science,1815,20,3
General Earth and Planetary Sciences,1815,20,4
General Physics and Astronomy,1816,121,1
General Medicine,1816,120,2
Pharmacology,1816,17,3
Organizational Behavior and Human Resource Management,1816,17,4
Strategy and Management,1816,17,5
Marketing,1816,17,6
Pharmaceutical Science,1816,17,7
Drug Discovery,1816,17,8
General Physics and Astronomy,1820,150,1
General Medicine,1820,71,2
General Physics and Astronomy,1821,164,1
General Medicine,1821,137,2
Marketing,1821,33,3
Pharmacology,1821,33,4
Organizational Behavior and Human Resource Management,1821,33,5
Strategy and Management,1821,33,6
Pharmaceutical Science,1821,33,7
Drug Discovery,1821,33,8
General Physics and Astronomy,1822,164,1
Pharmaceutical Science,1822,125,2
Drug Discovery,1822,125,3
General Medicine,1822,65,4
Organizational Behavior and Human Resource Management,1822,14,5
Pharmacology,1822,14,6
Marketing,1822,14,7
Strategy and Management,1822,14,8
General Medicine,1824,663,1
Drug Discovery,1824,344,2
Pharmaceutical Science,1824,344,3
Space and Planetary Science,1824,244,4
Astronomy and Astrophysics,1824,244,5
General Physics and Astronomy,1824,117,6
Marketing,1824,17,7
Strategy and Management,1824,17,8
Organizational Behavior and Human Resource Management,1824,17,9
Pharmacology,1824,17,10
General Medicine,1826,676,1
Applied Mathematics,1826,364,2
Signal Processing,1826,325,3
Computer Networks and Communications,1826,325,4
Control and Systems Engineering,1826,325,5
Pharmaceutical Science,1826,291,6
Drug Discovery,1826,291,7
Astronomy and Astrophysics,1826,243,8
Space and Planetary Science,1826,243,9
General Physics and Astronomy,1826,179,10
General Medicine,1828,1339,1
Pharmaceutical Science,1828,370,2
Drug Discovery,1828,370,3
Applied Mathematics,1828,351,4
General Physics and Astronomy,1828,343,5
Computer Networks and Communications,1828,307,6
Signal Processing,1828,307,7
Control and Systems Engineering,1828,307,8
Energy Engineering and Power Technology,1828,209,9
Fuel Technology,1828,209,10
General Medicine,1830,1440,1
Applied Mathematics,1830,380,2
Signal Processing,1830,305,3
Control and Systems Engineering,1830,305,4
Computer Networks and Communications,1830,305,5
Energy Engineering and Power Technology,1830,275,6
Fuel Technology,1830,275,7
General Physics and Astronomy,1830,204,8
Pharmaceutical Science,1830,177,9
Drug Discovery,1830,177,10
General Medicine,1834,1445,1
Physical and Theoretical Chemistry,1834,718,2
Organic Chemistry,1834,718,3
General Physics and Astronomy,1834,343,4
Applied Mathematics,1834,285,5
