subject,ref_count
General Medicine,146229457
Biochemistry,96393998
Molecular Biology,82421954
General Chemistry,79228805
Multidisciplinary,63727727
Cell Biology,61543242
Condensed Matter Physics,56245278
General Physics and Astronomy,48959587
General Materials Science,48264676
Genetics,44800226
Physical and Theoretical Chemistry,42321991
Electrical and Electronic Engineering,41764824
Materials Chemistry,38671814
Mechanical Engineering,36958919
Organic Chemistry,35515182
"Ecology, Evolution, Behavior and Systematics",32818744
Immunology,32458147
"Electronic, Optical and Magnetic Materials",30298416
Mechanics of Materials,29947882
Catalysis,29730315
Oncology,29324230
"General Biochemistry, Genetics and Molecular Biology",28859116
Neurology (clinical),28588372
Cardiology and Cardiovascular Medicine,27910518
Computer Science Applications,27511668
General Neuroscience,27258534
Physiology,27175907
Surgery,26207176
Pharmacology,25796526
Cancer Research,25590036
Psychiatry and Mental health,24466080
General Chemical Engineering,23361864
General Engineering,22713059
Plant Science,22127757
Immunology and Allergy,21934094
Economics and Econometrics,21684821
Biotechnology,21369823
Infectious Diseases,21172023
Space and Planetary Science,20962755
Applied Mathematics,20675565
"Surfaces, Coatings and Films",20656129
Microbiology,20152103
"Public Health, Environmental and Occupational Health",20112124
Ecology,19876155
Biophysics,19295522
Analytical Chemistry,19122492
Environmental Chemistry,18618978
"Renewable Energy, Sustainability and the Environment",17889580
"Atomic and Molecular Physics, and Optics",17849905
Aquatic Science,16679751
Food Science,16601369
Bioengineering,16579133
Sociology and Political Science,16519066
"Radiology, Nuclear Medicine and imaging",16409924
General Environmental Science,16310660
Molecular Medicine,16158099
"Endocrinology, Diabetes and Metabolism",15892591
Education,15818919
Inorganic Chemistry,15514126
Drug Discovery,15499103
Industrial and Manufacturing Engineering,15469293
Colloid and Surface Chemistry,15140404
Software,15129957
Astronomy and Astrophysics,14779682
Pollution,14490723
Physiology (medical),14266216
Endocrinology,14203198
Water Science and Technology,14187962
Geochemistry and Petrology,14148940
Orthopedics and Sports Medicine,14138231
Polymers and Plastics,13769928
"Pediatrics, Perinatology and Child Health",13726681
Geophysics,13707934
Animal Science and Zoology,13661516
Neurology,13313961
Atmospheric Science,13227014
Pharmacology (medical),12992021
Strategy and Management,12902667
General Earth and Planetary Sciences,12869178
Nuclear and High Energy Physics,12820555
Metals and Alloys,12683808
Agronomy and Crop Science,12564448
Ceramics and Composites,12411095
Environmental Engineering,12384700
Energy Engineering and Power Technology,11968774
Developmental Biology,11955580
Clinical Biochemistry,11913168
Hematology,11821550
Arts and Humanities (miscellaneous),11799722
Biomedical Engineering,11682754
Developmental and Educational Psychology,11649890
Civil and Structural Engineering,11402559
Soil Science,11263446
General Agricultural and Biological Sciences,11109102
Control and Systems Engineering,11086528
Statistics and Probability,10912884
Internal Medicine,10698087
"Health, Toxicology and Mutagenesis",10486200
Spectroscopy,10469275
Cellular and Molecular Neuroscience,10430781
Applied Microbiology and Biotechnology,10388430
Biomaterials,10360634
Pharmaceutical Science,10283452
Gastroenterology,10029864
Medicine (miscellaneous),9997739
Oceanography,9991872
Obstetrics and Gynecology,9903439
General Psychology,9813471
Microbiology (medical),9751093
Earth-Surface Processes,9718779
Pulmonary and Respiratory Medicine,9651000
Electrochemistry,9548894
Waste Management and Disposal,9489660
Toxicology,9365925
Business and International Management,9353316
Artificial Intelligence,9286658
Surfaces and Interfaces,9234904
Modeling and Simulation,9226777
Pathology and Forensic Medicine,9018174
Structural Biology,8896819
Genetics (clinical),8896212
Geology,8869522
Physics and Astronomy (miscellaneous),8847407
"Geography, Planning and Development",8796569
Instrumentation,8795925
Virology,8764782
Experimental and Cognitive Psychology,8688386
Nutrition and Dietetics,8665865
"Management, Monitoring, Policy and Law",8581453
General Mathematics,8461855
Earth and Planetary Sciences (miscellaneous),8404538
Clinical Psychology,8387003
Computational Mathematics,8295391
Computational Theory and Mathematics,8257417
General Immunology and Microbiology,7893354
Social Psychology,7814239
Cognitive Neuroscience,7726599
Epidemiology,7543775
Insect Science,7511842
Forestry,7453947
Finance,7426584
Information Systems,7353898
Applied Psychology,7201221
Building and Construction,7115682
Hepatology,7048138
Computer Networks and Communications,6719281
General Computer Science,6681462
Fuel Technology,6584019
Ophthalmology,6537647
Management Science and Operations Research,6360551
Parasitology,6332747
Paleontology,6306677
Critical Care and Intensive Care Medicine,6251269
Dermatology,6192778
Management of Technology and Innovation,6159317
